nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2
K102240,0.0,2.74,1.88,gdal_viewshed,0.4314,1.0,0.4772,0.3294,0.4294,0.0,0.4772,0.9831,0.526
K21211,0.0594,-0.87,1.7,gdal_viewshed,0.3777,1.0,0.4791,0.343,0.4371,0.0594,0.4791,0.8744,0.506
K77456,0.0,11.69,3.04,gdal_viewshed,0.5646,1.0,0.5216,0.3694,0.4694,0.0,0.5216,0.9769,0.5648
B001,0.0,-55.32,12.53,gdal_viewshed,0.0,0.6988,0.233,0.1398,0.2096,0.0,0.233,0.7843,0.2966
B002,0.0,-4.14,1.75,gdal_viewshed,0.329,1.0,0.4431,0.2987,0.3987,0.0,0.4431,0.9901,0.4967
B003,0.1469,12.13,1.39,gdal_viewshed,0.5712,1.0,0.5727,0.4448,0.5301,0.1469,0.5727,0.9866,0.6128
B004,0.3338,22.43,1.17,gdal_viewshed,0.7245,1.0,0.6861,0.5842,0.6509,0.3338,0.6861,1.0,0.7175
B005,0.0,-2.9,0.73,gdal_viewshed,0.3474,1.0,0.4492,0.3042,0.4042,0.0,0.4492,0.8987,0.484
B006,0.0396,-6.23,1.19,gdal_viewshed,0.2979,1.0,0.4459,0.3092,0.4052,0.0396,0.4459,0.9698,0.4952
B007,0.0,-5.78,5.67,gdal_viewshed,0.3046,0.9732,0.426,0.286,0.3833,0.0,0.426,0.9934,0.4847
B008,0.0,1.13,4.46,gdal_viewshed,0.4074,1.0,0.4692,0.3222,0.4222,0.0,0.4692,0.9708,0.5164
B009,0.0,57.02,23.17,gdal_viewshed,1.0,0.2732,0.4244,0.3546,0.382,0.0,0.4244,0.9136,0.5374
B010,0.0817,13.85,3.1,gdal_viewshed,0.5968,1.0,0.5595,0.4199,0.5117,0.0817,0.5595,0.9851,0.6006
B011,0.0752,7.08,3.6,gdal_viewshed,0.496,1.0,0.5238,0.3864,0.4789,0.0752,0.5238,0.9865,0.5687
B012,0.0681,-3.47,0.94,gdal_viewshed,0.339,1.0,0.4691,0.3358,0.4289,0.0681,0.4691,0.98,0.5181
B013,0.2084,7.69,4.02,gdal_viewshed,0.5051,1.0,0.5712,0.4557,0.5349,0.2084,0.5712,0.968,0.6076
B014,0.0,-5.01,4.7,gdal_viewshed,0.316,1.0,0.4387,0.2948,0.3948,0.0,0.4387,0.9671,0.4882
B015,0.0,21.03,11.17,gdal_viewshed,0.7037,0.7532,0.4857,0.3618,0.4371,0.0,0.4857,0.9243,0.5466
B016,0.0298,1.68,2.45,gdal_viewshed,0.4156,1.0,0.4819,0.3396,0.4366,0.0298,0.4819,0.739,0.4814
B017,0.0,4.44,4.09,gdal_viewshed,0.4567,1.0,0.4856,0.337,0.437,0.0,0.4856,0.9683,0.5307
B018,0.2171,8.87,4.33,gdal_viewshed,0.5227,1.0,0.58,0.4654,0.5436,0.2171,0.58,0.9807,0.6181
