esit,uzman_gorus_agirlikli,uzman_denge_arayisi,drop_R,h2,h4,h6,h10
0.57011231,0.44719,0.5148,0.35515,0.5501123099999999,0.57011231,0.59011231,0.6301123099999999
0.19147528,0.14456,0.17232,0.1388,0.17147528,0.19147528,0.21147528,0.25147527999999997
0.43498983999999996,0.304,0.39771999999999996,0.5314,0.41498983999999994,0.43498983999999996,0.45498984,0.49498983999999996
0.42974230999999996,0.30145,0.38673,0.4264,0.40974230999999994,0.42974230999999996,0.44974231,0.48974230999999996
0.49359871999999994,0.39616,0.44423999999999997,0.2404,0.4735987199999999,0.49359871999999994,0.51359872,0.5535987199999999
0.46475352999999997,0.33081,0.42452,0.53145,0.44475352999999995,0.46475352999999997,0.48475353,0.5247535299999999
0.5448121899999999,0.40020999999999995,0.49524999999999997,0.5248,0.5248121899999999,0.5448121899999999,0.5648121899999999,0.6048121899999999
0.35706429999999995,0.2213,0.3213,0.5,0.33706429999999993,0.35706429999999995,0.37706429999999996,0.41706429999999994
0.13922784,0.08352000000000001,0.12528,0.2088,0.11922783999999999,0.13922784,0.15922783999999998,0.19922784
0.51578176,0.36446,0.46431,0.50075,0.49578175999999996,0.51578176,0.53578176,0.5757817599999999
0.4423557699999999,0.30435,0.40120999999999996,0.5157,0.4223557699999999,0.4423557699999999,0.46235576999999994,0.5023557699999999
0.44882179,0.30389,0.40388999999999997,0.5,0.42882179,0.44882179,0.46882179,0.50882179
0.36799654,0.23114,0.33114,0.5,0.34799653999999997,0.36799654,0.38799654,0.42799654
0.3334,0.2,0.3,0.5,0.31339999999999996,0.3334,0.3534,0.39339999999999997
0.5837644,0.43592,0.52536,0.4472,0.5637643999999999,0.5837644,0.6037644,0.6437644
0.68499817,0.5278499999999999,0.62216,0.52845,0.6649981699999999,0.68499817,0.70499817,0.7449981699999999
0.5176815699999999,0.36587000000000003,0.46587,0.5,0.4976815699999999,0.5176815699999999,0.5376815699999999,0.57768157
0.49361731,0.35677,0.45048999999999995,0.5314,0.47361730999999996,0.49361731,0.51361731,0.5536173099999999
0.55657768,0.41716,0.50902,0.5407,0.53657768,0.55657768,0.57657768,0.61657768
0.14989664,0.08992,0.13488,0.2248,0.12989664,0.14989664,0.16989664,0.20989664
0.37565995999999996,0.25456,0.34506,0.5226999999999999,0.35565995999999994,0.37565995999999996,0.39565996,0.43565995999999996
0.44187243,0.32157,0.40125,0.4344,0.42187242999999996,0.44187243,0.46187243,0.5018724299999999
0.44935506999999997,0.30437000000000003,0.40437,0.5,0.42935506999999995,0.44935506999999997,0.46935507,0.50935507
0.49851681999999997,0.35716000000000003,0.45289,0.52135,0.47851681999999995,0.49851681999999997,0.51851682,0.5585168199999999
0.44222245,0.29795,0.39794999999999997,0.5,0.42222244999999997,0.44222245,0.46222245,0.50222245
0.23643913,0.19365,0.21793999999999997,0.17295,0.21643913,0.23643913,0.25643913,0.29643913
0.46135386999999994,0.31517,0.41517,0.5,0.4413538699999999,0.46135386999999994,0.48135386999999996,0.52135387
0.47505249999999993,0.33604,0.43177,0.52135,0.4550524999999999,0.47505249999999993,0.49505249999999995,0.5350524999999999
0.20115714,0.13976,0.18234999999999998,0.22624999999999998,0.18115714000000002,0.20115714,0.22115714,0.26115714
0.5543445699999999,0.42695,0.51291,0.5702,0.5343445699999999,0.5543445699999999,0.5743445699999999,0.6143445699999999
0.58919335,0.44465,0.5302499999999999,0.428,0.5691933499999999,0.58919335,0.60919335,0.64919335
0.17295032,0.12136,0.15564,0.1714,0.15295032,0.17295032,0.19295031999999998,0.23295032
0.51013827,0.37449,0.46143,0.4581,0.49013827,0.51013827,0.53013827,0.57013827
0.08394818,0.0523,0.07554,0.1162,0.06394818,0.08394818,0.10394818,0.14394817999999998
0.5813496,0.4488,0.5232,0.372,0.5613496,0.5813496,0.6013496,0.6413496000000001
0.4747192,0.34176,0.43448,0.5364,0.4547192,0.4747192,0.4947192,0.5347192000000001
0.38342546,0.28126,0.34506,0.319,0.36342546,0.38342546,0.40342546,0.44342546
0.42359097999999995,0.2816,0.38139,0.50105,0.40359097999999993,0.42359097999999995,0.44359097999999997,0.48359097999999995
0.43932273999999993,0.3067,0.40102,0.5284,0.4193227399999999,0.43932273999999993,0.45932273999999995,0.49932273999999993
0.43304106,0.32378,0.39891999999999994,0.4679,0.41304105999999996,0.43304106,0.45304106,0.49304106
0.51414859,0.37511,0.4689,0.53105,0.49414859,0.51414859,0.53414859,0.5741485900000001
0.44502217,0.30047,0.40047,0.5,0.42502217,0.44502217,0.46502217,0.5050221699999999
0.42552411999999995,0.28292,0.38292,0.5,0.40552411999999993,0.42552411999999995,0.44552411999999997,0.48552411999999995
0.5782421799999999,0.42591999999999997,0.52315,0.51385,0.5582421799999999,0.5782421799999999,0.59824218,0.63824218
0.54424558,0.39638,0.49307999999999996,0.5165,0.52424558,0.54424558,0.56424558,0.60424558
0.47718562,0.32942000000000005,0.42942,0.5,0.45718561999999996,0.47718562,0.49718562,0.53718562
0.4790854299999999,0.34301000000000004,0.43706999999999996,0.5297,0.4590854299999999,0.4790854299999999,0.49908542999999994,0.5390854299999999
0.52158118,0.36938000000000004,0.46938,0.5,0.50158118,0.52158118,0.54158118,0.5815811799999999
0.45272139999999994,0.30826,0.40782999999999997,0.50215,0.4327213999999999,0.45272139999999994,0.47272139999999996,0.5127214
0.463387,0.31786000000000003,0.41742999999999997,0.50215,0.443387,0.463387,0.483387,0.523387
0.46175383,0.31639,0.41596,0.50215,0.44175382999999996,0.46175383,0.48175383,0.52175383
0.44866611,0.32699,0.4042,0.39035,0.42866611,0.44866611,0.46866611,0.5086661100000001
0.23297991999999998,0.13976,0.20964,0.3494,0.21297992,0.23297991999999998,0.25297991999999997,0.29297991999999995
0.44305569999999994,0.2987,0.3987,0.5,0.4230556999999999,0.44305569999999994,0.46305569999999996,0.5030557
0.57274273,0.44481000000000004,0.53012,0.57345,0.55274273,0.57274273,0.59274273,0.6327427299999999
0.6861313899999999,0.5842499999999999,0.6508700000000001,0.6669,0.6661313899999999,0.6861313899999999,0.7061313899999999,0.74613139
0.44918842,0.30422,0.40421999999999997,0.5,0.42918841999999996,0.44918842,0.46918842,0.50918842
0.44588874999999994,0.30917,0.40520999999999996,0.5198,0.4258887499999999,0.44588874999999994,0.46588874999999996,0.50588875
0.42598805999999995,0.28602,0.38334,0.4866,0.40598805999999993,0.42598805999999995,0.44598805999999996,0.48598805999999994
0.46918642,0.32222,0.42222,0.5,0.44918642,0.46918642,0.48918642,0.52918642
0.42438487999999996,0.35464,0.38195999999999997,0.1366,0.40438487999999995,0.42438487999999996,0.44438488,0.48438487999999996
0.55954405,0.41989,0.51172,0.54085,0.5395440499999999,0.55954405,0.57954405,0.61954405
0.52378096,0.38639999999999997,0.47888,0.5376,0.5037809599999999,0.52378096,0.54378096,0.5837809599999999
0.46908642999999994,0.33575,0.42894,0.53405,0.4490864299999999,0.46908642999999994,0.48908642999999996,0.52908643
0.57120955,0.45573,0.53489,0.6042,0.5512095499999999,0.57120955,0.59120955,0.6312095499999999
0.43872279999999997,0.2948,0.3948,0.5,0.41872279999999995,0.43872279999999997,0.4587228,0.49872279999999997
0.48566009,0.36175,0.43706999999999996,0.3766,0.46566008999999997,0.48566009,0.50566009,0.5456600899999999
0.48185182,0.33958,0.4366,0.5149,0.46185181999999997,0.48185182,0.50185182,0.54185182
0.48561811,0.33701000000000003,0.43701,0.5,0.46561811,0.48561811,0.50561811,0.5456181099999999
0.57997534,0.46536,0.54365,0.60855,0.5599753399999999,0.57997534,0.59997534,0.6399753399999999
0.5606301,0.42546000000000006,0.50808,0.4485,0.5406301,0.5606301,0.5806301,0.6206301000000001
0.45158818,0.30638,0.40637999999999996,0.5,0.43158818,0.45158818,0.47158818,0.51158818
0.50674933,0.35807,0.45704999999999996,0.5051,0.48674933,0.50674933,0.52674933,0.5667493299999999
0.41715829,0.27539,0.37539,0.5,0.39715828999999997,0.41715829,0.43715829,0.47715829
0.39325055999999997,0.264,0.35388,0.4494,0.37325055999999995,0.39325055999999997,0.41325056,0.45325055999999997
0.43299003999999996,0.29054,0.39009,0.50225,0.41299003999999995,0.43299003999999996,0.45299004,0.49299003999999996
0.42178199999999993,0.29018,0.38028999999999996,0.45785,0.4017819999999999,0.42178199999999993,0.44178199999999995,0.48178199999999993
0.3701808,0.30176000000000003,0.35968,0.5552,0.35018079999999996,0.3701808,0.3901808,0.4301808
0.28173006999999994,0.19529000000000002,0.25353000000000003,0.2912,0.2617300699999999,0.28173006999999994,0.30173006999999996,0.34173006999999994
0.46105389999999996,0.3294,0.42214999999999997,0.53625,0.44105389999999994,0.46105389999999996,0.4810539,0.5210539
0.5077492299999999,0.36741,0.46216999999999997,0.5262,0.4877492299999999,0.5077492299999999,0.52774923,0.56774923
0.39164084,0.27244,0.35244,0.4,0.37164084,0.39164084,0.41164084,0.45164084
0.57267607,0.42655,0.52096,0.52795,0.55267607,0.57267607,0.59267607,0.63267607
0.36386514999999997,0.28441000000000005,0.34003,0.40390000000000004,0.34386514999999995,0.36386514999999997,0.38386515,0.42386514999999997
0.5053161399999999,0.37644,0.46558999999999995,0.55425,0.4853161399999999,0.5053161399999999,0.5253161399999999,0.56531614
0.46906779,0.34992999999999996,0.42671,0.42969999999999997,0.44906778999999997,0.46906779,0.48906779,0.52906779
0.28712662,0.29346,0.28694000000000003,0.2526,0.26712662,0.28712662,0.30712662,0.34712662
0.49781449,0.35039,0.44799,0.488,0.47781449,0.49781449,0.51781449,0.5578144899999999
0.42652401999999995,0.28382,0.38382,0.5,0.40652401999999993,0.42652401999999995,0.44652401999999997,0.48652401999999995
0.4887178,0.35392,0.44686,0.5353,0.46871779999999996,0.4887178,0.5087178,0.5487177999999999
0.44925508,0.30428,0.40428,0.5,0.42925507999999996,0.44925508,0.46925508,0.50925508
0.30858571999999995,0.19444000000000003,0.27768,0.4162,0.28858571999999993,0.30858571999999995,0.32858571999999997,0.36858571999999995
0.42842382999999995,0.28553,0.38553,0.5,0.40842382999999993,0.42842382999999995,0.44842382999999997,0.48842382999999995
0.21031729,0.15095,0.18927,0.1916,0.19031729,0.21031729,0.23031728999999998,0.27031729
0.49335067,0.36507,0.45452,0.55275,0.47335067,0.49335067,0.51335067,0.5533506699999999
0.43540817,0.31977,0.39832,0.45765,0.41540816999999997,0.43540817,0.45540817,0.49540817
0.5322731199999999,0.41936,0.47904,0.2984,0.5122731199999999,0.5322731199999999,0.55227312,0.59227312
0.63370006,0.47354,0.5703,0.4838,0.61370006,0.63370006,0.65370006,0.6937000600000001
0.41415658999999994,0.27469,0.37268999999999997,0.49,0.3941565899999999,0.41415658999999994,0.43415658999999995,0.47415658999999993
0.39011229999999997,0.26642,0.35106,0.4232,0.37011229999999995,0.39011229999999997,0.4101123,0.45011229999999997
