yapi_id,ad_standart,x_32635,y_32635,oturtma_m,fV,R,egim,fR,fS,cevre_R_med,cevre_R_iqr,cevre_egim_med,konum_guven,hata_yaricapi_m,kiyi_esik_disi,kaynak,U_esit,M0,M1_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,U_drop_R,kararlilik,okuma_sinifi,fE,M2,taraf,shore_m,grup
T01,Namazgah Tabyasi,447165.0,4444035.0,0.0,0.0,-24.96,1.42,0.12,1.0,,,0.0,dusuk,1000,False,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",0.3734,0.0,0.3734,0.236,0.336,0.5,0.0,dusuk/degisken,1.0,0.436,Avrupa,120.0,tarihsel_aday_tabya
T03,Mecidiye Tabyasi,446655.0,4443615.0,0.0,0.0,-18.92,0.16,0.2064,1.0,24.2,0.48,2.87,dusuk,1000,False,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",0.4022,0.0,0.4022,0.2619,0.3619,0.5,0.0,dusuk/degisken,1.0,0.4619,Avrupa,150.0,tarihsel_aday_tabya
T04,Anadolu Hamidiyesi,449115.0,4443165.0,30.0,0.0006,-1.91,0.34,0.45,1.0,,,0.55,dusuk,1000,False,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",0.4836,0.0006,0.4836,0.3353,0.4352,0.5003,0.0,yuksek/degisken,0.5,0.4352,Anadolu,30.0,tarihsel_aday_tabya
T05,Orhaniye Tabyasi,430515.0,4427265.0,0.0,0.4168,28.84,1.98,0.8902,1.0,1.59,13.66,1.0,dusuk,1000,False,"OSM Nominatim TASLAK (dogrulanmadi; [18]+[1,2] gerekli)",0.769,0.4168,0.769,0.6755,0.7338,0.7084,1.0,yuksek/kararli,1.0,0.7921,Anadolu,276.5863337187866,tarihsel_aday_tabya
